# Citilinc geofenced bus stops, transcribed from the NMPML RTI reply
# (letter 3120/2026, 17 Aug 2026), annexure pages 137-166 of 198.
# The PDF is a 300 DPI scan with no text layer, so this table was read
# off the page rather than parsed. sr is the source table's own row number.
# sr|depot|city|name|lat|lon
1|Tapovan Depot|Nashik|Jagdamb Hotel (Kanade Mala)|19.85836|74.01507
2|Tapovan Depot|Nashik|Sinnar Court (D)|19.84912|74.00465
3|Tapovan Depot|Nashik|Sinnar Court (U)|19.84946|74.00473
4|Tapovan Depot|Nashik|Vijay Nagar (Sinner)|19.85598|74.01138
5|Tapovan Depot|Nashik|Mane Nagar|20.02799|73.82536
6|Tapovan Depot|Nashik|TDP Nagar (Makhmalabad)|20.04608|73.78470
7|Tapovan Depot|Nashik|Padma Nagar (Thete Mala)|20.04627|73.78860
8|Tapovan Depot|Nashik|Muktai Nagar (Rau Hotel)|20.04637|73.79116
9|Tapovan Depot|Nashik|Chankyapuri (Makhmalabad)|20.04748|73.79551
10|Tapovan Depot|Nashik|Sai Nagar (RTO Corner)|20.03263|73.80543
11|Tapovan Depot|Nashik|Baliraja Nagar|20.02948|73.82204
12|Tapovan Depot|Nashik|Pramod Mahajan Gardan (Bali Mandir)|20.02350|73.83015
13|Tapovan Depot|Nashik|Mhada colony (Nilgiri Bag)|20.00671|73.83154
14|Tapovan Depot|Nashik|Jejurkar Mala (Geetai Lawans)|19.99833|73.83091
15|Tapovan Depot|Nashik|Takali STP Kendra|19.98548|73.82912
16|Tapovan Depot|Nashik|Anusaya Nagar / Sun City|19.98057|73.82842
17|Tapovan Depot|Nashik|Panchakrushana colony|19.97854|73.82968
18|Tapovan Depot|Nashik|Shriram Nagar / Adhav Mala|19.97639|73.83670
19|Tapovan Depot|Nashik|Awhad Chowk|19.95446|73.76985
20|Tapovan Depot|Nashik|Paanini Society|19.95540|73.76936
21|Tapovan Depot|Nashik|Gamane Ground|19.95751|73.76918
22|Tapovan Depot|Nashik|Krushnai Hotel|19.95990|73.76882
23|Tapovan Depot|Nashik|Akshar Colony|19.96098|73.76747
24|Tapovan Depot|Nashik|Gorakshanath Mandir (Sinner)|19.84194|74.00264
25|Tapovan Depot|Nashik|Tapovan Terminus|20.00788|73.81421
26|Nashik Road Depot|Nashik|Urdu School (Sarda Circle) (U)|19.99381|73.79044
27|Nashik Road Depot|Nashik|Urdu School (Sarda Circle) (D)|19.99381|73.79060
28|Nashik Road Depot|Nashik|DDR Office (Sarda Circle) (U)|19.99142|73.78883
29|Nashik Road Depot|Nashik|DDR Office (Sarda Circle) (D)|19.99163|73.78914
30|Nashik Road Depot|Nashik|Waani House/State Bank Colony|19.99106|73.79103
31|Tapovan Depot|Nashik|AnnaCha Wada (Mungsara)|20.05033|73.72954
32|Tapovan Depot|Nashik|Gaarewadi|20.04618|73.72878
33|Tapovan Depot|Nashik|Hagwane Vasti (Chandshi)|20.04436|73.73444
34|Tapovan Depot|Nashik|Mira Land Empire|20.03970|73.73658
35|Tapovan Depot|Nashik|Jalalpur Phata|20.03712|73.73837
36|Tapovan Depot|Nashik|Chandshi Gaon|20.03431|73.74005
37|Tapovan Depot|Nashik|Yamuna Nagar|20.02995|73.74227
38|Tapovan Depot|Nashik|Vishwendu Nagar|20.02729|73.74340
39|Tapovan Depot|Nashik|Nandanvan Nagar|20.02723|73.74722
40|Tapovan Depot|Nashik|Mandlik Nagar 1 / Alaska Lawns|20.02649|73.75137
41|Tapovan Depot|Nashik|Hridayaksha Hospital|20.02578|73.75368
42|Tapovan Depot|Nashik|Gandhari Gaon Chaufuli|20.02510|73.75714
43|Tapovan Depot|Nashik|Bapu Pul (D)|20.02272|73.75585
44|Tapovan Depot|Nashik|Bapu Pul (U)|20.02281|73.75577
45|Tapovan Depot|Nashik|Aasaram Bapu Aasharam|20.02058|73.75513
46|Tapovan Depot|Nashik|Atharva Colony|20.01836|73.75479
